PRESYNAPTIC_CELLTYPE	POSTSYNAPTIC_CELLTYPE	LENGTH_DENSITY_SOMA	LENGTH_DENSITY_APICAL	LENGTH_DENSITY_BASAL	AREA_DENSITY_SOMA	AREA_DENSITY_APICAL	AREA_DENSITY_BASAL
ALL_EXCITATORY	L2	0	1.68	1.68	0	0	0
ALL_EXCITATORY	L34	0	1.68	1.68	0	0	0
ALL_EXCITATORY	L4py	0	1.68	1.17	0	0	0
ALL_EXCITATORY	L4sp	0	1.17	1.17	0	0	0
ALL_EXCITATORY	L4ss	0	1.17	1.17	0	0	0
ALL_EXCITATORY	L5st	0	1.68	1.04	0	0	0
ALL_EXCITATORY	L5tt	0	1.68	1.04	0	0	0
ALL_EXCITATORY	L6cc	0	1.04	1.04	0	0	0
ALL_EXCITATORY	L6ccinv	0	1.04	1.04	0	0	0
ALL_EXCITATORY	L6ct	0	1.04	1.04	0	0	0
ALL_INHIBITORY	L2	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L34	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L4py	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L4sp	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L4ss	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L5st	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L5tt	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L6cc	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L6ccinv	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L6ct	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal1	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal2	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal3	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal4	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal5	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	SymLocal6	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L1	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L23Trans	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L45Sym	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L45Peak	0	0	0	0.03	0.03	0.03
ALL_INHIBITORY	L56Trans	0	0	0	0.03	0.03	0.03
ALL_EXCITATORY	SymLocal1	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	SymLocal2	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	SymLocal3	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	SymLocal4	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	SymLocal5	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	SymLocal6	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	L1	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	L23Trans	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	L45Sym	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	L45Peak	0	0	0	0.37	0.37	0.37
ALL_EXCITATORY	L56Trans	0	0	0	0.37	0.37	0.37
