CELL TYPE	Alpha	A1	A2	A3	A4	Beta	B1	B2	B3	B4	Gamma	C1	C2	C3	C4	Delta	D1	D2	D3	D4	E1	E2	E3	E4
L2	1684	1807	1733	1284	1108	1745	1897	2347	2016	2010	2295	2039	2570	2839	2539	2756	2416	3213	3545	3724	3765	4233	4300	3048
L34	2676	2724	2660	2070	1984	3739	3348	3736	3204	3684	4544	4093	5149	5151	5067	4769	4267	5701	5807	7071	5646	6178	6019	4674
L4py	489	502	516	341	355	699	646	730	598	630	867	781	902	846	900	915	820	1105	1061	1287	985	1040	1100	826
L4sp	1023	947	920	719	751	1190	1084	1096	1035	972	1593	1288	1406	1343	1191	1605	1437	1659	1493	1469	1774	2180	2004	1648
L4ss	1543	1387	1394	1085	1069	1964	1677	1655	1387	1449	2393	2095	2141	2094	1784	2517	2118	2452	2259	2107	2571	2784	3035	2294
L5st	958	1024	987	786	897	1149	1060	1170	1135	1384	1540	1264	1596	1659	1736	1790	1429	1851	1803	2122	2086	2373	2327	1930
L5tt	743	769	738	627	660	953	747	870	842	1042	1219	928	1101	1185	1314	1420	1084	1484	1474	1606	1611	1843	1868	1502
L6cc	762	832	916	723	733	1007	850	962	917	1147	1342	1055	1259	1325	1549	1672	1227	1586	1592	1872	1988	2291	2191	1728
L6ccinv	439	436	469	393	453	555	468	494	483	640	747	537	696	697	894	971	689	891	912	1054	1170	1261	1195	1017
L6ct	2437	2521	2398	1889	1975	2968	2513	2603	2261	3367	4188	2922	3391	3495	4131	5074	3596	4374	4160	4834	5501	5852	5600	4683
VPM	186	196	198	132	89	199	295	306	227	148	282	329	350	253	218	246	286	311	296	270	298	346	403	361
SymLocal1	209	259	267	171	173	262	254	376	276	273	278	267	334	348	291	335	266	345	399	448	413	406	424	362
SymLocal2	137	219	225	141	90	164	167	290	228	149	147	162	220	191	195	134	161	203	216	280	204	214	218	183
SymLocal3	369	403	384	276	267	410	423	462	395	482	615	462	573	577	614	652	543	754	713	725	796	864	839	614
SymLocal4	146	123	123	113	125	148	141	163	125	164	203	149	198	216	246	258	193	243	235	283	295	356	318	249
SymLocal5	49	44	63	27	48	63	50	45	46	78	77	61	80	86	80	88	86	118	86	128	122	137	141	100
SymLocal6	130	101	101	86	83	175	128	133	99	168	200	145	162	150	210	234	182	203	202	218	272	268	242	194
L1	18	19	35	33	11	25	31	54	44	26	32	36	48	54	21	46	45	61	91	32	80	122	118	35
L23Trans	161	219	220	118	113	158	192	304	218	186	206	175	223	250	220	192	169	247	272	271	244	301	303	225
L45Sym	138	179	173	130	121	183	157	203	179	205	251	196	272	262	269	291	259	289	305	329	342	389	369	269
L45Peak	173	227	193	134	128	204	254	252	180	237	267	226	256	229	277	297	238	350	310	362	338	396	393	280
L56Trans	346	312	345	322	322	418	336	420	375	515	586	389	495	608	657	772	507	670	701	791	834	932	884	745
